,Title,Date Published,Peer Review,DOI,Author,Keywords,Methodology,References,Journal,Volume,Issue,Pages
614450081.xml,"Perspective Taking as Egocentric Anchoring and Adjustment
",2004-09-01,True,10.1037/0022-3514.87.3.327,"['Epley, Nicholas', 'Keysar, Boaz', 'Van Boven, Leaf', 'Gilovich, Thomas']","['perspective taking', 'serial adjustment', 'egocentric anchoring', 'egocentric biases', 'time pressure', 'adjustment process']","['Empirical Study', 'Quantitative Study']",51.0,Journal of Personality and Social Psychology,87.0,3.0,327-339
614391081.xml,"The consideration of future consequences: Weighing immediate and distant outcomes of behavior
",1994-04-01,True,10.1037/0022-3514.66.4.742,"['Strathman, Alan', 'Gleicher, Faith', 'Boninger, David S.', 'Edwards, C. Scott']","['individual differences in consideration of distant vs immediate behavioral consequences, college students']",['Empirical Study'],47.0,Journal of Personality and Social Psychology,66.0,4.0,742-752
614319087.xml,"Possible self-complexity and affective reactions to goal-relevant evaluation
",1992-07-01,True,10.1037/0022-3514.63.1.5,"['Niedenthal, Paula M.', 'Setterlund, Marc B.', 'Wherry, Mary B.']","['affective reactions to feedback regarding future goals & self concept complexity, college students']",['Empirical Study'],51.0,Journal of Personality and Social Psychology,63.0,1.0,5-16
614311216.xml,"The distinction between sympathy and empathy: To call forth a concept, a word is needed
",1986-02-01,True,10.1037/0022-3514.50.2.314,"['Wispé, Lauren']","['use of terms ""sympathy"" vs ""empathy"" in psychology & their historical roots']",[],98.0,Journal of Personality and Social Psychology,50.0,2.0,314-321
614375439.xml,"Information-seeking and maternal self-definition during the transition to motherhood
",1988-09-01,True,10.1037/0022-3514.55.3.420,"['Deutsch, Francine M.', 'Ruble, Diane N.', 'Fleming, Alison', 'Brooks-Gunn, J.', 'Stangor, Charles']","['transition to motherhood, information seeking & self definition, adult females']",['Empirical Study'],31.0,Journal of Personality and Social Psychology,55.0,3.0,420-431
614312406.xml,"The role of attitudes in memory-based decision making
",1990-10-01,True,10.1037/0022-3514.59.4.614,"['Sanbonmatsu, David M.', 'Fazio, Russell H.']","['decision motivation & use of attribute knowledge, role of attitudes in memory based decision making, college students']",['Empirical Study'],25.0,Journal of Personality and Social Psychology,59.0,4.0,614-622
614391756.xml,"Impact of perceived self-efficacy in coping with stressors on components of the immune system
",1990-11-01,True,10.1037/0022-3514.59.5.1082,"['Wiedenfeld, Sue A.', ""O'Leary, Ann"", 'Bandura, Albert', 'Brown, Shirley', 'Levine, Seymour', 'Raska, Karel']","['perceived self efficacy, immunological changes & autonomic & endocrine activation while coping with phobic stressors, 25–48 yr olds']",['Empirical Study'],64.0,Journal of Personality and Social Psychology,59.0,5.0,1082-1094
614304340.xml,"Attributions, expectations, and coping with abortion
",1985-03-01,True,10.1037/0022-3514.48.3.585,"['Major, Brenda', 'Mueller, Pallas', 'Hildebrandt, Katherine']","['attribution & meaningfulness of pregnancy & expectations for coping, females undergoing 1st trimester abortion']",['Empirical Study'],48.0,Journal of Personality and Social Psychology,48.0,3.0,585-599
2164361855.xml,"Making social neuroscience less WEIRD: Using fNIRS to measure neural signatures of persuasive influence in a Middle East participant sample
",2019-03-01,True,10.1037/pspa0000144,"['Burns, Shannon M.', 'Barnes, Lianne N.', 'McCulloh, Ian A.', 'Dagher, Munqith M.', 'Falk, Emily B.', 'Storey, J. Douglas', 'Lieberman, Matthew D.']","['Arab', 'fNIRS', 'neuroimaging', 'persuasion', 'WEIRD']","['Brain Imaging', 'Empirical Study', 'Quantitative Study']",59.0,Journal of Personality and Social Psychology,116.0,3.0,e1-e11
614373997.xml,"Big Five dimensions and ADHD symptoms: Links between personality traits and clinical symptoms
",2002-08-01,True,10.1037/0022-3514.83.2.451,"['Nigg, Joel T.', 'John, Oliver P.', 'Blaskey, Lisa G.', 'Huang-Pollock, Cynthia L.', 'Willcutt, Erik G.', 'Hinshaw, Stephen P.', 'Pennington, Bruce']","['attention-deficit/hyperactivity disorder', 'ADHD', 'personality traits', 'clinical symptoms', 'adulthood']",['Empirical Study'],142.0,Journal of Personality and Social Psychology,83.0,2.0,451-469
1801878588.xml,"Transitions in romantic relationships and development of self-esteem
",2017-02-01,True,10.1037/pspp0000109,"['Luciano, Eva C.', 'Orth, Ulrich']","['longitudinal', 'life transitions', 'propensity score matching', 'romantic relationships', 'self-esteem development']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",108.0,Journal of Personality and Social Psychology,112.0,2.0,307-328
614297480.xml,"Possible selves and delinquency
",1990-07-01,True,10.1037/0022-3514.59.1.112,"['Oyserman, Daphna', 'Markus, Hazel R.']","['perception of possible selves, delinquency, 13–16 yr olds']",['Empirical Study'],82.0,Journal of Personality and Social Psychology,59.0,1.0,112-125
614489095.xml,"Romantic red: Red enhances men's attraction to women
",2008-11-01,True,10.1037/0022-3514.95.5.1150,"['Elliot, Andrew J.', 'Niesta, Daniela']","['color', 'red', 'attractiveness', 'attraction', 'evaluation', 'romance']","['Empirical Study', 'Quantitative Study']",105.0,Journal of Personality and Social Psychology,95.0,5.0,1150-1164
1492507640.xml,"The effects of system-justifying motives on endorsement of essentialist explanations for gender differences
",2013-12-01,True,10.1037/a0034701,"['Brescoll, Victoria L.', 'Uhlmann, Eric Luis', 'Newman, George E.']","['biological essentialism', 'essentialism', 'gender', 'stereotyping', 'system justification']","['Empirical Study', 'Quantitative Study']",78.0,Journal of Personality and Social Psychology,105.0,6.0,891-908
614377879.xml,"""The Work Preference Inventory: Assessing intrinsic and extrinsic motivational orientations"": Correction
",1995-04-01,True,10.1037/0022-3514.68.4.580,"['Amabile, Teresa M.', 'Hil, Karl G.', 'Hennessey, Beth A.', 'Tighe, Elizabeth M.']","['psychometric properties of Work Preferences Inventory, assessment of individual differences in intrinsic & extrinsic motivational orientations toward work, 16–73 yr olds, erratum']",['Empirical Study'],,Journal of Personality and Social Psychology,68.0,4.0,580
614504162.xml,"When nonsense sounds happy or helpless: The Implicit Positive and Negative Affect Test (IPANAT)
",2009-09-01,True,10.1037/a0016063,"['Quirin, Markus', 'Kazén, Miguel', 'Kuhl, Julius']","['implicit affect', 'indirect assessment', 'affect priming', 'positive affect', 'negative affect', 'test reliability', 'construct validity', 'variance']","['Empirical Study', 'Quantitative Study']",124.0,Journal of Personality and Social Psychology,97.0,3.0,500-516
614317829.xml,"Stereotypes and ethnocentrism: Diverging interethnic perceptions of African American and White American youth
",1995-09-01,True,10.1037/0022-3514.69.3.460,"['Judd, Charles M.', 'Park, Bernadette', 'Ryan, Carey S.', 'Brauer, Markus', 'Kraus, Susan']","['perceived variability & ethnocentrism & stereotyping, African American vs White college students']",['Empirical Study'],38.0,Journal of Personality and Social Psychology,69.0,3.0,460-481
614372929.xml,"APA presidential addresses: The relation of integrative complexity to historical, professional, and personal factors
",1985-12-01,True,10.1037/0022-3514.49.6.1643,"['Suedfeld, Peter']","['integrative complexity of American Psychological Association presidential addresses, 1894–1981']",[],28.0,Journal of Personality and Social Psychology,49.0,6.0,1643-1651
1848264870.xml,"The headwinds/tailwinds asymmetry: An availability bias in assessments of barriers and blessings
",2016-12-01,True,10.1037/pspa0000066,"['Davidai, Shai', 'Gilovich, Thomas']","['gratitude', 'headwinds', 'resentment', 'tailwinds', 'availability bias']","['Empirical Study', 'Quantitative Study']",78.0,Journal of Personality and Social Psychology,111.0,6.0,835-851
614346626.xml,"Mental representations of the self, significant others, and nonsignificant others: Structure and processing of private and public aspects
",1998-10-01,True,10.1037/0022-3514.75.4.845,"['Andersen, Susan M.', 'Glassman, Noah S.', 'Gold, David A.']",['perspectives of & emotional–motivational relevance in dual-factor conceptualization of self vs other vs significant other differences'],['Empirical Study'],172.0,Journal of Personality and Social Psychology,75.0,4.0,845-861
614354527.xml,"The need to evaluate
",1996-01-01,True,10.1037/0022-3514.70.1.172,"['Jarvis, W. Blair G.', 'Petty, Richard E.']","['internal consistency & factor structure & reliability & validity of Need to Evaluate Scale, college students']",['Empirical Study'],99.0,Journal of Personality and Social Psychology,70.0,1.0,172-194
614400318.xml,"Intergroup Contact and Pluralistic Ignorance
",2005-01-01,True,10.1037/0022-3514.88.1.91,"['Shelton, J. Nicole', 'Richeson, Jennifer A.']","['intergroup & outgroup contact', 'pluralistic ignorance', 'interest perceptions', 'rejection']","['Empirical Study', 'Quantitative Study']",49.0,Journal of Personality and Social Psychology,88.0,1.0,91-107
614538798.xml,"Cross-national variation in the size of sex differences in values: Effects of gender equality
",2009-07-01,True,10.1037/a0015546,"['Schwartz, Shalom H.', 'Rubel-Lifschitz, Tammy']","['values', 'sex differences', 'gender equality', 'national differences']","['Empirical Study', 'Quantitative Study']",43.0,Journal of Personality and Social Psychology,97.0,1.0,171-185
614492999.xml,"Reducing intergroup prejudice and conflict using the media: A field experiment in Rwanda
",2009-03-01,True,10.1037/a0011989,"['Paluck, Elizabeth Levy']","['media', 'prejudice', 'conflict', 'field experiment', 'social norms', 'radio']","['Empirical Study', 'Field Study', 'Quantitative Study']",131.0,Journal of Personality and Social Psychology,96.0,3.0,574-587
614496153.xml,"Seeing race and seeming racist? Evaluating strategic colorblindness in social interaction
",2008-10-01,True,10.1037/a0011990,"['Apfelbaum, Evan P.', 'Sommers, Samuel R.', 'Norton, Michael I.']","['interracial interaction', 'regulatory behavior', 'nonverbal behavior', 'normative influence', 'executive function']","['Empirical Study', 'Quantitative Study']",69.0,Journal of Personality and Social Psychology,95.0,4.0,918-932
614303918.xml,"Changes in the marital relationship after the first baby is born: Predicting the impact of expectancy disconfirmation
",1992-06-01,True,10.1037/0022-3514.62.6.944,"['Hackel, Lisa S.', 'Ruble, Diane N.']","['expectancy disconfirmation regarding child care & household tasks, postpartum marital satisfaction, 1st time parents']",['Empirical Study'],49.0,Journal of Personality and Social Psychology,62.0,6.0,944-957
614341660.xml,"The gender gap in occupational role attainment: A social dominance approach
",1997-01-01,True,10.1037/0022-3514.72.1.37,"['Pratto, Felicia', 'Stallworth, Lisa M.', 'Sidanius, Jim', 'Siers, Bret']","['processes contributing to gender gap in occupational role attainment, college students, implications for social dominance theory']",['Empirical Study'],95.0,Journal of Personality and Social Psychology,72.0,1.0,37-53
614317560.xml,"The perceptual and inferential effects of situational inducements on dispositional attribution
",1988-08-01,True,10.1037/0022-3514.55.2.165,"['Trope, Yaacov', 'Cohen, Ofra', 'Maoz, Yifat']","['behavioral ambiguity, perception vs attribution of behavior, college students']",['Empirical Study'],31.0,Journal of Personality and Social Psychology,55.0,2.0,165-177
614508671.xml,"When the association between appearance and outcome contaminates social judgment: A bidirectional model linking group homogeneity and collective treatment
",2009-11-01,True,10.1037/a0016957,"['Alter, Adam L.', 'Darley, John M.']","['homogeneity', 'collective punishment', 'group perception', 'attribution', 'social judgment']","['Empirical Study', 'Quantitative Study']",87.0,Journal of Personality and Social Psychology,97.0,5.0,776-795
614336962.xml,"Similarity in married couples: A longitudinal study of mental abilities and rigidity-flexibility
",1995-07-01,True,10.1037/0022-3514.69.1.191,"['Gruber-Baldini, Ann L.', 'Schaie, K. Warner', 'Willis, Sherry L.']","['similarities in mental abilities & attitudinal rigidity vs flexibility, married couples, 7 yr study']","['Empirical Study', 'Longitudinal Study']",52.0,Journal of Personality and Social Psychology,69.0,1.0,191-203
614341563.xml,"Convergence of self-reports and independent observers: Dominance and friendliness
",1990-06-01,True,10.1037/0022-3514.58.6.1096,"['Moskowitz, D. S.']","[""validity of self reports vs independent O's rating of dominance & friendliness, college student friend dyads""]",['Empirical Study'],42.0,Journal of Personality and Social Psychology,58.0,6.0,1096-1106
614320138.xml,"Stereotypic and nonstereotypic sex role trait and behavior orientations: Implications for personal adjustment
",1987-05-01,True,10.1037/0022-3514.52.5.1034,"['Orlofsky, Jacob L.', ""O'Heron, Connie A.""]","['sex role attitudes & traits & behaviors, self esteem & psychological adjustment, college students']",['Empirical Study'],37.0,Journal of Personality and Social Psychology,52.0,5.0,1034-1042
614330548.xml,"The roles of constructive thinking and optimism in psychological and behavioral adjustment during pregnancy
",1997-09-01,True,10.1037/0022-3514.73.3.584,"['Park, Crystal L.', 'Moore, Philip J.', 'Turner, Rebecca A.', 'Adler, Nancy E.']","['roles of constructive thinking & optimism & stress in psychological & behavioral adjustment, 16–43 yr old pregnant females']",['Empirical Study'],33.0,Journal of Personality and Social Psychology,73.0,3.0,584-592
614357544.xml,"Children's action-control beliefs about school performance: How do American children compare with German and Russian children?
",1995-10-01,True,10.1037/0022-3514.69.4.686,"['Little, Todd D.', 'Oettingen, Gabriele', 'Stetsenko, Anna', 'Baltes, Paul B.']","['action control beliefs about school performance, 2nd–6th graders, US vs Germany vs Russia']",['Empirical Study'],73.0,Journal of Personality and Social Psychology,69.0,4.0,686-700
614307900.xml,"Causal chunking: Memory and inference in ongoing interaction
",1987-11-01,True,10.1037/0022-3514.53.5.858,"['Swann, William B., Jr.', 'Pelham, Brett W.', 'Roberts, David C.']","['defensive vs offensive set in simulated arms race, self vs other causal chunking of memories of 8 inferences about interactions, college students & adults']",['Empirical Study'],33.0,Journal of Personality and Social Psychology,53.0,5.0,858-865
614509334.xml,"The existence bias
",2009-11-01,True,10.1037/a0017058,"['Eidelman, Scott', 'Crandall, Christian S.', 'Pattershall, Jennifer']","['existence', 'status quo bias', 'system justification', 'naturalistic fallacy', 'goodness', 'aesthetic judgments']","['Empirical Study', 'Quantitative Study']",64.0,Journal of Personality and Social Psychology,97.0,5.0,765-775
884117744.xml,"Residential mobility breeds familiarity-seeking
",2012-01-01,True,10.1037/a0024949,"['Oishi, Shigehiro', 'Miao, Felicity F.', 'Koo, Minkyung', 'Kisling, Jason', 'Ratliff, Kate A.']","['culture', 'familiarity', 'mere exposure effect', 'residential mobility', 'social ecology', 'chain stores']","['Empirical Study', 'Quantitative Study']",89.0,Journal of Personality and Social Psychology,102.0,1.0,149-162
1753445757.xml,"Government instability shifts skin tone representations of and intentions to vote for political candidates
",2016-01-01,True,10.1037/pspi0000040,"['Stern, Chadly', 'Balcetis, Emily', 'Cole, Shana', 'West, Tessa V.', 'Caruso, Eugene M.']","['race', 'voting', 'perception', 'skin tone', 'government instability']","['Empirical Study', 'Quantitative Study']",65.0,Journal of Personality and Social Psychology,110.0,1.0,76-95
614467770.xml,"No pain, no gain: The conditions under which upward comparisons lead to better performance
",2007-06-01,True,10.1037/0022-3514.92.6.1051,"['Johnson, Camille S.', 'Stapel, Diederik A.']","['social comparison', 'self-affirmation', 'performance', 'motivation', 'self-evaluations', 'social threat', 'upward comparisons']","['Empirical Study', 'Quantitative Study']",43.0,Journal of Personality and Social Psychology,92.0,6.0,1051-1067
614331943.xml,"Emotional suppression: Physiology, self-report, and expressive behavior
",1993-06-01,True,10.1037/0022-3514.64.6.970,"['Gross, James J.', 'Levenson, Robert W.']","['emotional expressiveness suppression during disgust eliciting film, behavioral & facial & physiological & subjective responses, college students']",['Empirical Study'],95.0,Journal of Personality and Social Psychology,64.0,6.0,970-986
614514694.xml,"Predicting actual behavior from the explicit and implicit self-concept of personality
",2009-09-01,True,10.1037/a0016229,"['Back, Mitja D.', 'Schmukle, Stefan C.', 'Egloff, Boris']","['actual behavior', 'personality', 'impulsive and reflective processes', 'implicit and explicit measures', 'indirect and direct measurement', 'self concept']","['Empirical Study', 'Quantitative Study']",101.0,Journal of Personality and Social Psychology,97.0,3.0,533-548
614307831.xml,"When motives clash: Issue involvement and response involvement as determinants of persuasion
",1987-02-01,True,10.1037/0022-3514.52.2.269,"['Leippe, Michael R.', 'Elkin, Roger A.']","['message strength & high vs low issue vs response involvement, persuasion & message processing & recall & attitudes, college students']",['Empirical Study'],30.0,Journal of Personality and Social Psychology,52.0,2.0,269-278
614517176.xml,"1/
<i>f</i> noise and effort on implicit measures of bias
",2008-01-01,True,10.1037/0022-3514.94.1.48,"['Correll, Joshua']","['1/f noise', 'effort', 'stereotyping', 'prejudice', 'pink noise', 'frequency']","['Empirical Study', 'Quantitative Study']",36.0,Journal of Personality and Social Psychology,94.0,1.0,48-59
614330949.xml,"Reconciling competing motives in self-evaluation: The role of self-control in feedback seeking
",1994-04-01,True,10.1037/0022-3514.66.4.646,"['Trope, Yaacov', 'Neter, Efrat']","['positive experiences, willingness to seek & accept negative feedback & role of self control, college students, Israel']",['Empirical Study'],54.0,Journal of Personality and Social Psychology,66.0,4.0,646-657
614331909.xml,"Self-determination and persistence in a real-life setting: Toward a motivational model of high school dropout
",1997-05-01,True,10.1037/0022-3514.72.5.1161,"['Vallerand, Robert J.', 'Fortier, Michelle S.', 'Guay, Frédéric']","['self-determination & persistence & school administration behaviors as factors in model of high school dropout, 9th & 10th graders, Canada']",['Empirical Study'],86.0,Journal of Personality and Social Psychology,72.0,5.0,1161-1176
614330397.xml,"Disclosure and anxiety: A test of the fever model
",1992-12-01,True,10.1037/0022-3514.63.6.980,"['Stiles, William B.', 'Shuster, Paul L.', 'Harrigan, Jinni A.']","['trait anxiety & psychological distress, disclosure in speech about anxious vs happy topic, college students, test of fever model']",['Empirical Study'],45.0,Journal of Personality and Social Psychology,63.0,6.0,980-988
1909170126.xml,"A mixed-methods study of personality conceptions in the Levant: Jordan, Lebanon, Syria, and the West Bank
",2017-09-01,True,10.1037/pspp0000148,"['Zeinoun, Pia', 'Daouk-Öyry, Lina', 'Choueiri, Lina', 'van de Vijver, Fons J. R.']","['psycholexical', 'Arab personality', 'Arabic personality items/test', 'emic etic combination', 'indigenous personality']","['Empirical Study', 'Qualitative Study']",56.0,Journal of Personality and Social Psychology,113.0,3.0,453-465
763258140.xml,"Whatever does not kill us: Cumulative lifetime adversity, vulnerability, and resilience
",2010-12-01,True,10.1037/a0021344,"['Seery, Mark D.', 'Holman, E. Alison', 'Silver, Roxane Cohen']","['cumulative lifetime adversity', 'mental health and well-being', 'resilience', 'stress inoculation', 'toughening']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",88.0,Journal of Personality and Social Psychology,99.0,6.0,1025-1041
614331426.xml,"Butch, femme, or straight acting? Partner preferences of gay men and lesbians
",1997-11-01,True,10.1037/0022-3514.73.5.960,"['Bailey, J. Michael', 'Kim, Peggy Y.', 'Hills, Alex', 'Linsenmeier, Joan A. W.']","['sex typicality in partner preference, homosexual males &/vs females, implications for sexual orientation theories & adjustment of sex-atypical individuals']",['Empirical Study'],63.0,Journal of Personality and Social Psychology,73.0,5.0,960-973
1415593625.xml,"A double standard when group members behave badly: Transgression credit to ingroup leaders
",2013-11-01,True,10.1037/a0033600,"['Abrams, Dominic', 'Randsley de Moura, Georgina', 'Travaglino, Giovanni A.']","['deviance', 'double standard', 'groups', 'leadership', 'transgression', 'ingroup outgroup', 'social identity theory']","['Empirical Study', 'Quantitative Study']",65.0,Journal of Personality and Social Psychology,105.0,5.0,799-815
614492638.xml,"Searching for and finding meaning in collective trauma: Results from a national longitudinal study of the 9/11 terrorist attacks
",2008-09-01,True,10.1037/0022-3514.95.3.709,"['Updegraff, John A.', 'Silver, Roxane Cohen', 'Holman, E. Alison']","['meaning', 'adjustment', 'terrorism', 'coping behavior', 'mental health', '9/11 attacks']","['Empirical Study', 'Longitudinal Study', 'Quantitative Study']",82.0,Journal of Personality and Social Psychology,95.0,3.0,709-722
1289468225.xml,"Do the disadvantaged legitimize the social system? A large-scale test of the status–legitimacy hypothesis
",2013-05-01,True,10.1037/a0031751,"['Brandt, Mark J.']","['inequality', 'legitimacy', 'social status', 'system justification theory', 'motivation', 'societal inequality', 'civil liberties', 'meritocratic culture']","['Empirical Study', 'Quantitative Study']",97.0,Journal of Personality and Social Psychology,104.0,5.0,765-785
745195917.xml,"""Self-concept clarity: Measurement, personality correlates, and cultural boundaries"": Correction
",1996-06-01,True,10.1037/0022-3514.70.6.1114,"['Campbell, Jennifer D.', 'Trapnell, Paul D.', 'Heine, Steven J.', 'Katz, Ilana M.', 'Lavallee, Loraine F.', 'Lehman, Darrin R.']","['reliability & validity of self concept clarity scale, 17–48 yr olds, Canada vs Japan, erratum']",['Empirical Study'],,Journal of Personality and Social Psychology,70.0,6.0,1114
614516809.xml,"“We are people”: Ingroup humanization as an existential defense
",2010-05-01,True,10.1037/a0017658,"['Vaes, Jeroen', 'Heflick, Nathan A.', 'Goldenberg, Jamie L.']","['death-thought accessibility', 'ingroup humanization', 'mortality salience', 'self-esteem', 'terror management theory']","['Empirical Study', 'Quantitative Study']",72.0,Journal of Personality and Social Psychology,98.0,5.0,750-760
614440608.xml,"Fundamental dimensions of social judgment: Understanding the relations between judgments of competence and warmth
",2005-12-01,True,10.1037/0022-3514.89.6.899,"['Judd, Charles M.', 'James-Hawkins, Laurie', 'Yzerbyt, Vincent', 'Kashima, Yoshihisa']","['social judgment', 'stereotypes', 'person perception', 'competence', 'warmth']","['Empirical Study', 'Quantitative Study']",49.0,Journal of Personality and Social Psychology,89.0,6.0,899-913
614389761.xml,"How does cooperation reduce intergroup bias?
",1990-10-01,True,10.1037/0022-3514.59.4.692,"['Gaertner, Samuel L.', 'Mann, Jeffrey A.', 'Dovidio, John F.', 'Murrell, Audrey J.', 'Pomare, Marina']","['intergroup cooperation, intergroup bias, college students']",['Empirical Study'],45.0,Journal of Personality and Social Psychology,59.0,4.0,692-704
1910787526.xml,"Resisting temptation for the good of the group: Binding moral values and the moralization of self-control
",2018-09-01,True,10.1037/pspp0000149,"['Mooijman, Marlon', 'Meindl, Peter', 'Oyserman, Daphna', 'Monterosso, John', 'Dehghani, Morteza', 'Doris, John M.', 'Graham, Jesse']","['binding foundations', 'moral foundations theory', 'self-control moralization']","['Empirical Study', 'Quantitative Study']",85.0,Journal of Personality and Social Psychology,115.0,3.0,585-599
614326627.xml,"Interactive minds: A facilitative setting for wisdom-related performance?
",1996-10-01,True,10.1037/0022-3514.71.4.746,"['Staudinger, Ursula M.', 'Baltes, Paul B.']","['ecological relevance & functionality of experimental setting, social-interactive nature of wisdom, 20–70 yr old dyads']",['Empirical Study'],72.0,Journal of Personality and Social Psychology,71.0,4.0,746-762
614382745.xml,"Comparison and expectancy processes in human judgment
",1991-08-01,True,10.1037/0022-3514.61.2.203,"['Manis, Melvin', 'Biernat, Monica', 'Nelson, Thomas F.']","['prior experience to members of given category, expectations & comparisons of other category members, adults, test of judgment model']",['Empirical Study'],21.0,Journal of Personality and Social Psychology,61.0,2.0,203-211
614333854.xml,"Acoustic profiles in vocal emotion expression
",1996-03-01,True,10.1037/0022-3514.70.3.614,"['Banse, Rainer', 'Scherer, Klaus R.']","['acoustic intensity & valence of vocalized portrayals, inference of emotion, listeners, Germany']",['Empirical Study'],51.0,Journal of Personality and Social Psychology,70.0,3.0,614-636
614334919.xml,"Lake Wobegon be gone! The ""below-average effect"" and the egocentric nature of comparative ability judgments
",1999-08-01,True,10.1037/0022-3514.77.2.221,"['Kruger, Justin']","['below-average effect & the egocentric nature of comparative ability judgments, undergraduates']",['Empirical Study'],75.0,Journal of Personality and Social Psychology,77.0,2.0,221-232
614372043.xml,"The out-group must not be so bad after all: The effects of disclosure, typicality, and salience on intergroup bias
",2002-08-01,True,10.1037/0022-3514.83.2.313,"['Ensari, Nurcan', 'Miller, Norman']","['out-group', 'intergroup bias', 'disclosure', 'typicality', 'salience', 'acceptance']",['Empirical Study'],79.0,Journal of Personality and Social Psychology,83.0,2.0,313-329
614305025.xml,"Multidimensionality of state and trait anxiety: Factor structure of the Endler Multidimensional Anxiety Scales
",1991-06-01,True,10.1037/0022-3514.60.6.919,"['Endler, Norman S.', 'Parker, James D.', 'Bagby, R. Michael', 'Cox, Brian J.']","['factor analysis of Endler Multidimensional Anxiety Scales, assessment of relation & distinction between state & trait anxiety, college students, Canada']",['Empirical Study'],45.0,Journal of Personality and Social Psychology,60.0,6.0,919-926
